antecedents,consequents,support,confidence,lift
"fico_range_low_bin_High, int_rate_bin_Low (8-12%)","grade_B, last_fico_range_low_bin_High",0.052,0.49,4.509
"int_rate_bin_Medium (12-16%), grade_C",sub_grade_C3,0.057,0.23,4.026
"int_rate_bin_Medium (12-16%), grade_C",sub_grade_C2,0.058,0.233,4.026
"home_ownership_MORTGAGE, grade_C","int_rate_bin_Medium (12-16%), term_ 60 months",0.052,0.38,3.849
"int_rate_bin_Medium (12-16%), term_ 60 months","home_ownership_MORTGAGE, grade_C",0.052,0.522,3.849
"grade_B, int_rate_bin_Low (8-12%)",sub_grade_B1,0.055,0.21,3.797
"grade_B, int_rate_bin_Low (8-12%)",sub_grade_B2,0.056,0.213,3.796
"last_fico_range_low_bin_Low, grade_C","int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.061,0.51,3.697
"int_rate_bin_Medium (12-16%), fico_range_low_bin_Low","last_fico_range_low_bin_Low, grade_C",0.061,0.441,3.697
"last_fico_range_low_bin_High, grade_A","term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High",0.051,0.428,3.695
"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High","last_fico_range_low_bin_High, grade_A",0.051,0.442,3.695
"int_rate_bin_Low (8-12%), fico_range_low_bin_Low","grade_B, term_ 36 months",0.086,0.871,3.682
"grade_B, term_ 36 months","int_rate_bin_Low (8-12%), fico_range_low_bin_Low",0.086,0.362,3.682
grade_A,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High",0.051,0.267,3.657
"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High",grade_A,0.051,0.7,3.657
"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)","term_ 60 months, grade_C",0.052,0.372,3.655
"term_ 60 months, grade_C","home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)",0.052,0.506,3.655
"term_ 36 months, grade_C","int_rate_bin_Medium (12-16%), installment_bin_Low",0.07,0.377,3.646
"int_rate_bin_Medium (12-16%), installment_bin_Low","term_ 36 months, grade_C",0.07,0.677,3.646
"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low","fico_range_low_bin_Low, grade_C",0.061,0.5,3.627
"fico_range_low_bin_Low, grade_C","int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low",0.061,0.441,3.627
"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",0.081,0.482,3.581
"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High","grade_A, int_rate_bin_Very Low (<8%)",0.081,0.604,3.581
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",0.081,0.482,3.575
"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.081,0.604,3.575
"term_ 36 months, int_rate_bin_Medium (12-16%)","installment_bin_Low, grade_C",0.07,0.361,3.571
"installment_bin_Low, grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.07,0.693,3.571
"int_rate_bin_Medium (12-16%), grade_C",sub_grade_C1,0.057,0.229,3.545
"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High","grade_A, home_ownership_MORTGAGE",0.051,0.38,3.542
"grade_A, home_ownership_MORTGAGE","last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",0.051,0.477,3.542
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, fico_range_low_bin_Low",0.086,0.36,3.539
"grade_B, fico_range_low_bin_Low","term_ 36 months, int_rate_bin_Low (8-12%)",0.086,0.844,3.539
"grade_B, int_rate_bin_Low (8-12%)",sub_grade_B3,0.054,0.205,3.525
"grade_B, term_ 36 months, home_ownership_MORTGAGE","int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.056,0.516,3.522
"int_rate_bin_Low (8-12%), loan_status_Fully Paid","grade_B, term_ 36 months, home_ownership_MORTGAGE",0.056,0.385,3.522
grade_C,sub_grade_C1,0.065,0.224,3.478
grade_C,sub_grade_C3,0.057,0.199,3.478
grade_C,"int_rate_bin_Medium (12-16%), sub_grade_C2",0.058,0.201,3.478
grade_C,sub_grade_C2,0.058,0.202,3.478
grade_C,"int_rate_bin_Medium (12-16%), sub_grade_C3",0.057,0.198,3.478
grade_C,sub_grade_C4,0.056,0.196,3.478
grade_C,"int_rate_bin_Medium (12-16%), sub_grade_C1",0.057,0.197,3.478
grade_C,sub_grade_C5,0.052,0.18,3.478
"term_ 36 months, grade_C","int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.089,0.478,3.465
"int_rate_bin_Medium (12-16%), fico_range_low_bin_Low","term_ 36 months, grade_C",0.089,0.644,3.465
"grade_B, last_fico_range_low_bin_High","int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.055,0.506,3.451
"int_rate_bin_Low (8-12%), loan_status_Fully Paid","grade_B, last_fico_range_low_bin_High",0.055,0.375,3.451
grade_A,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",0.089,0.462,3.434
"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",grade_A,0.089,0.658,3.434
"term_ 36 months, int_rate_bin_Medium (12-16%)","loan_status_Fully Paid, grade_C",0.087,0.449,3.428
"loan_status_Fully Paid, grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.087,0.665,3.428
"int_rate_bin_Low (8-12%), loan_status_Fully Paid","grade_B, term_ 36 months, dti_bin_Low (10-20)",0.051,0.348,3.423
"grade_B, term_ 36 months, dti_bin_Low (10-20)","int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.051,0.502,3.423
"grade_B, term_ 36 months","int_rate_bin_Low (8-12%), installment_bin_Low",0.089,0.375,3.42
"int_rate_bin_Low (8-12%), installment_bin_Low","grade_B, term_ 36 months",0.089,0.809,3.42
"grade_B, installment_bin_Low","term_ 36 months, int_rate_bin_Low (8-12%)",0.089,0.815,3.419
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, installment_bin_Low",0.089,0.372,3.419
"grade_B, term_ 36 months","int_rate_bin_Low (8-12%), last_fico_range_low_bin_Low",0.066,0.28,3.418
"int_rate_bin_Low (8-12%), last_fico_range_low_bin_Low","grade_B, term_ 36 months",0.066,0.809,3.418
sub_grade_C3,int_rate_bin_Medium (12-16%),0.057,0.999,3.411
sub_grade_C2,int_rate_bin_Medium (12-16%),0.058,0.999,3.411
int_rate_bin_Medium (12-16%),"sub_grade_C3, grade_C",0.057,0.195,3.411
int_rate_bin_Medium (12-16%),sub_grade_C3,0.057,0.195,3.411
int_rate_bin_Medium (12-16%),sub_grade_C2,0.058,0.198,3.411
int_rate_bin_Medium (12-16%),"sub_grade_C2, grade_C",0.058,0.198,3.411
grade_B,sub_grade_B2,0.056,0.191,3.407
grade_B,"int_rate_bin_Low (8-12%), sub_grade_B1",0.055,0.189,3.407
grade_B,sub_grade_B5,0.062,0.211,3.407
grade_B,sub_grade_B4,0.062,0.211,3.407
grade_B,sub_grade_B1,0.055,0.189,3.407
grade_B,"int_rate_bin_Low (8-12%), sub_grade_B4",0.053,0.181,3.407
grade_B,"sub_grade_B3, int_rate_bin_Low (8-12%)",0.054,0.184,3.407
grade_B,"int_rate_bin_Low (8-12%), sub_grade_B2",0.056,0.191,3.407
grade_B,sub_grade_B3,0.058,0.198,3.407
int_rate_bin_Low (8-12%),"grade_B, sub_grade_B2",0.056,0.19,3.4
int_rate_bin_Low (8-12%),sub_grade_B2,0.056,0.19,3.4
int_rate_bin_Low (8-12%),"grade_B, sub_grade_B1",0.055,0.189,3.4
"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","grade_B, fico_range_low_bin_High",0.05,0.34,3.4
"grade_B, fico_range_low_bin_High","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.05,0.501,3.4
int_rate_bin_Low (8-12%),sub_grade_B1,0.055,0.189,3.4
sub_grade_B1,int_rate_bin_Low (8-12%),0.055,1.0,3.4
sub_grade_B2,int_rate_bin_Low (8-12%),0.056,1.0,3.4
"last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.081,0.756,3.38
"term_ 36 months, fico_range_low_bin_High","last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)",0.081,0.364,3.38
"term_ 36 months, fico_range_low_bin_High","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.364,3.378
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.081,0.756,3.378
"grade_B, loan_status_Fully Paid","term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.056,0.375,3.371
"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","grade_B, loan_status_Fully Paid",0.056,0.507,3.371
"term_ 36 months, grade_C","home_ownership_RENT, int_rate_bin_Medium (12-16%)",0.076,0.409,3.347
"home_ownership_RENT, int_rate_bin_Medium (12-16%)","term_ 36 months, grade_C",0.076,0.622,3.347
"int_rate_bin_Low (8-12%), loan_status_Fully Paid","grade_B, term_ 36 months",0.115,0.787,3.328
"grade_B, term_ 36 months","int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.115,0.488,3.328
"term_ 36 months, fico_range_low_bin_High","last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE",0.051,0.229,3.327
"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE","term_ 36 months, fico_range_low_bin_High",0.051,0.744,3.327
"home_ownership_RENT, int_rate_bin_Low (8-12%)","grade_B, term_ 36 months",0.089,0.787,3.325
"grade_B, term_ 36 months","home_ownership_RENT, int_rate_bin_Low (8-12%)",0.089,0.378,3.325
"term_ 36 months, int_rate_bin_Medium (12-16%)","fico_range_low_bin_Low, grade_C",0.089,0.457,3.317
"fico_range_low_bin_Low, grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.089,0.644,3.317
"grade_B, loan_status_Fully Paid","term_ 36 months, int_rate_bin_Low (8-12%), dti_bin_Low (10-20)",0.051,0.339,3.313
"term_ 36 months, int_rate_bin_Low (8-12%), dti_bin_Low (10-20)","grade_B, loan_status_Fully Paid",0.051,0.499,3.313
"last_fico_range_low_bin_High, grade_A","term_ 36 months, fico_range_low_bin_High",0.089,0.741,3.31
"term_ 36 months, fico_range_low_bin_High","last_fico_range_low_bin_High, grade_A",0.089,0.396,3.31
"term_ 36 months, grade_C","int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low",0.074,0.401,3.3
"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low","term_ 36 months, grade_C",0.074,0.613,3.3
"grade_B, term_ 36 months","dti_bin_Low (10-20), int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.051,0.216,3.298
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, home_ownership_RENT",0.089,0.375,3.272
"grade_B, home_ownership_RENT","term_ 36 months, int_rate_bin_Low (8-12%)",0.089,0.781,3.272
"grade_A, int_rate_bin_Very Low (<8%)","term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High",0.064,0.379,3.268
"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High","grade_A, int_rate_bin_Very Low (<8%)",0.064,0.552,3.268
"term_ 36 months, int_rate_bin_Medium (12-16%)","home_ownership_RENT, grade_C",0.076,0.392,3.265
"home_ownership_RENT, grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.076,0.633,3.265
"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.064,0.552,3.263
int_rate_bin_Very Low (<8%),"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High",0.064,0.378,3.263
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, last_fico_range_low_bin_Low",0.066,0.278,3.263
"grade_B, last_fico_range_low_bin_Low","term_ 36 months, int_rate_bin_Low (8-12%)",0.066,0.778,3.263
"home_ownership_RENT, grade_C","int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.054,0.448,3.25
"int_rate_bin_Medium (12-16%), fico_range_low_bin_Low","home_ownership_RENT, grade_C",0.054,0.39,3.25
"grade_B, last_fico_range_low_bin_High","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.052,0.478,3.249
"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","grade_B, last_fico_range_low_bin_High",0.052,0.353,3.249
"grade_B, loan_status_Fully Paid","last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.055,0.365,3.244
"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)","grade_B, loan_status_Fully Paid",0.055,0.488,3.244
"loan_status_Fully Paid, grade_C","int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.058,0.445,3.224
"int_rate_bin_Medium (12-16%), fico_range_low_bin_Low","loan_status_Fully Paid, grade_C",0.058,0.422,3.224
"grade_B, term_ 36 months, loan_status_Current",int_rate_bin_Low (8-12%),0.077,0.947,3.22
"term_ 36 months, int_rate_bin_Medium (12-16%)","last_fico_range_low_bin_Low, grade_C",0.074,0.384,3.22
"last_fico_range_low_bin_Low, grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.074,0.625,3.22
"term_ 36 months, grade_C","int_rate_bin_Medium (12-16%), loan_status_Fully Paid",0.087,0.469,3.22
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, loan_status_Current",0.077,0.262,3.22
"int_rate_bin_Medium (12-16%), loan_status_Fully Paid","term_ 36 months, grade_C",0.087,0.598,3.22
"int_rate_bin_Low (8-12%), loan_status_Fully Paid","grade_B, installment_bin_Low",0.051,0.35,3.217
"grade_B, installment_bin_Low","int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.051,0.472,3.217
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, loan_status_Fully Paid",0.115,0.484,3.215
"grade_B, loan_status_Fully Paid","term_ 36 months, int_rate_bin_Low (8-12%)",0.115,0.767,3.215
"fico_range_low_bin_High, int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE",0.05,0.47,3.214
"grade_B, home_ownership_MORTGAGE","fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.05,0.342,3.214
"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE","grade_A, fico_range_low_bin_High",0.051,0.421,3.204
"grade_A, fico_range_low_bin_High","last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE",0.051,0.39,3.204
"int_rate_bin_Medium (12-16%), fico_range_low_bin_Low","dti_bin_Low (10-20), grade_C",0.05,0.365,3.2
"dti_bin_Low (10-20), grade_C","int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.05,0.441,3.2
"int_rate_bin_Low (8-12%), last_fico_range_low_bin_Medium","grade_B, term_ 36 months",0.075,0.755,3.191
"grade_B, home_ownership_MORTGAGE, loan_status_Current",int_rate_bin_Low (8-12%),0.054,0.938,3.191
int_rate_bin_Low (8-12%),"grade_B, home_ownership_MORTGAGE, loan_status_Current",0.054,0.184,3.191
"grade_B, term_ 36 months","int_rate_bin_Low (8-12%), last_fico_range_low_bin_Medium",0.075,0.317,3.191
"home_ownership_RENT, int_rate_bin_Medium (12-16%)","fico_range_low_bin_Low, grade_C",0.054,0.44,3.19
"fico_range_low_bin_Low, grade_C","home_ownership_RENT, int_rate_bin_Medium (12-16%)",0.054,0.39,3.19
int_rate_bin_Low (8-12%),"grade_B, loan_status_Current",0.109,0.371,3.187
"grade_B, loan_status_Current",int_rate_bin_Low (8-12%),0.109,0.937,3.187
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, dti_bin_Low (10-20), loan_status_Fully Paid",0.051,0.214,3.181
"int_rate_bin_Low (8-12%), fico_range_low_bin_Medium","grade_B, term_ 36 months",0.067,0.752,3.177
"grade_B, term_ 36 months","int_rate_bin_Low (8-12%), fico_range_low_bin_Medium",0.067,0.283,3.177
"loan_status_Current, int_rate_bin_Medium (12-16%)",grade_C,0.093,0.913,3.175
grade_C,"loan_status_Current, int_rate_bin_Medium (12-16%)",0.093,0.323,3.175
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), fico_range_low_bin_Low",0.086,0.292,3.167
"term_ 36 months, int_rate_bin_Low (8-12%), fico_range_low_bin_Low",grade_B,0.086,0.93,3.167
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, fico_range_low_bin_High",0.059,0.201,3.165
"grade_B, loan_status_Current","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.054,0.466,3.165
"grade_B, term_ 36 months, fico_range_low_bin_High",int_rate_bin_Low (8-12%),0.059,0.931,3.165
"grade_B, term_ 36 months","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.056,0.238,3.163
"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE",0.052,0.462,3.159
"grade_B, home_ownership_MORTGAGE","last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.052,0.356,3.159
"term_ 36 months, fico_range_low_bin_High, dti_bin_Low (10-20)",grade_A,0.055,0.605,3.158
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, last_fico_range_low_bin_Medium",0.075,0.315,3.158
"grade_B, last_fico_range_low_bin_Medium","term_ 36 months, int_rate_bin_Low (8-12%)",0.075,0.753,3.158
grade_A,"term_ 36 months, fico_range_low_bin_High, dti_bin_Low (10-20)",0.055,0.286,3.158
int_rate_bin_Low (8-12%),sub_grade_B3,0.054,0.184,3.157
int_rate_bin_Low (8-12%),"grade_B, sub_grade_B3",0.054,0.184,3.157
sub_grade_B3,int_rate_bin_Low (8-12%),0.054,0.928,3.157
"grade_B, fico_range_low_bin_High, last_fico_range_low_bin_High",int_rate_bin_Low (8-12%),0.052,0.928,3.156
int_rate_bin_Low (8-12%),"grade_B, fico_range_low_bin_High, last_fico_range_low_bin_High",0.052,0.177,3.156
grade_B,"int_rate_bin_Low (8-12%), term_ 60 months",0.051,0.175,3.154
"int_rate_bin_Low (8-12%), term_ 60 months",grade_B,0.051,0.926,3.154
"int_rate_bin_Low (8-12%), fico_range_low_bin_Low",grade_B,0.091,0.925,3.151
grade_B,"int_rate_bin_Low (8-12%), fico_range_low_bin_Low",0.091,0.31,3.151
"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High",grade_A,0.07,0.602,3.145
grade_A,"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High",0.07,0.365,3.145
"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)","loan_status_Fully Paid, grade_C",0.057,0.41,3.133
"loan_status_Fully Paid, grade_C","home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)",0.057,0.434,3.133
int_rate_bin_Low (8-12%),"grade_B, fico_range_low_bin_High",0.092,0.313,3.133
"grade_B, fico_range_low_bin_High",int_rate_bin_Low (8-12%),0.092,0.921,3.133
"grade_B, dti_bin_Low (10-20)","int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.058,0.459,3.131
"int_rate_bin_Low (8-12%), loan_status_Fully Paid","grade_B, dti_bin_Low (10-20)",0.058,0.397,3.131
int_rate_bin_Low (8-12%),"grade_B, fico_range_low_bin_High, home_ownership_MORTGAGE",0.05,0.17,3.13
"grade_B, home_ownership_MORTGAGE","int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.067,0.457,3.121
grade_A,"term_ 36 months, loan_status_Current, fico_range_low_bin_High",0.055,0.286,3.121
"int_rate_bin_Low (8-12%), loan_status_Fully Paid","grade_B, home_ownership_MORTGAGE",0.067,0.456,3.121
"term_ 36 months, loan_status_Current, fico_range_low_bin_High",grade_A,0.055,0.598,3.121
"int_rate_bin_Low (8-12%), last_fico_range_low_bin_Low",grade_B,0.075,0.913,3.111
grade_B,"int_rate_bin_Low (8-12%), last_fico_range_low_bin_Low",0.075,0.255,3.111
"int_rate_bin_Low (8-12%), installment_bin_Low","grade_B, loan_status_Fully Paid",0.051,0.468,3.11
"grade_B, loan_status_Fully Paid","int_rate_bin_Low (8-12%), installment_bin_Low",0.051,0.341,3.11
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), last_fico_range_low_bin_Low",0.066,0.226,3.11
"dti_bin_Low (10-20), int_rate_bin_Medium (12-16%)","fico_range_low_bin_Low, grade_C",0.05,0.427,3.099
"fico_range_low_bin_Low, grade_C","dti_bin_Low (10-20), int_rate_bin_Medium (12-16%)",0.05,0.365,3.099
int_rate_bin_Low (8-12%),"grade_B, home_ownership_MORTGAGE, last_fico_range_low_bin_High",0.052,0.177,3.098
"grade_B, home_ownership_MORTGAGE, last_fico_range_low_bin_High",int_rate_bin_Low (8-12%),0.052,0.911,3.098
"grade_B, dti_bin_Low (10-20)","term_ 36 months, int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.051,0.402,3.097
int_rate_bin_Low (8-12%),"grade_B, installment_bin_Low",0.099,0.336,3.092
"grade_B, installment_bin_Low",int_rate_bin_Low (8-12%),0.099,0.909,3.092
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, installment_bin_Low",0.089,0.302,3.09
int_rate_bin_Low (8-12%),"grade_B, last_fico_range_low_bin_High",0.099,0.335,3.087
"grade_B, last_fico_range_low_bin_High",int_rate_bin_Low (8-12%),0.099,0.908,3.087
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE, loan_status_Fully Paid",0.056,0.236,3.085
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, last_fico_range_low_bin_High",0.071,0.24,3.082
"int_rate_bin_Low (8-12%), last_fico_range_low_bin_Medium",grade_B,0.09,0.903,3.078
grade_B,"int_rate_bin_Low (8-12%), last_fico_range_low_bin_Medium",0.09,0.306,3.078
grade_B,"int_rate_bin_Low (8-12%), installment_bin_Low",0.099,0.337,3.073
"int_rate_bin_Low (8-12%), installment_bin_Low",grade_B,0.099,0.902,3.073
grade_B,"int_rate_bin_Low (8-12%), installment_bin_Low, loan_status_Fully Paid",0.051,0.175,3.072
"int_rate_bin_Medium (12-16%), term_ 60 months",grade_C,0.087,0.883,3.071
grade_C,"int_rate_bin_Medium (12-16%), term_ 60 months",0.087,0.303,3.071
grade_C,"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%), term_ 60 months",0.052,0.179,3.071
"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%), term_ 60 months",grade_C,0.052,0.883,3.071
int_rate_bin_Low (8-12%),"grade_B, term_ 60 months",0.051,0.175,3.07
"grade_B, term_ 60 months",int_rate_bin_Low (8-12%),0.051,0.903,3.07
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, last_fico_range_low_bin_Medium",0.075,0.255,3.069
"grade_B, term_ 36 months, last_fico_range_low_bin_Medium",int_rate_bin_Low (8-12%),0.075,0.902,3.069
"int_rate_bin_Low (8-12%), fico_range_low_bin_Medium",grade_B,0.08,0.901,3.068
"grade_B, home_ownership_MORTGAGE","dti_bin_Low (10-20), int_rate_bin_Low (8-12%)",0.057,0.39,3.068
grade_B,"int_rate_bin_Low (8-12%), fico_range_low_bin_Medium",0.08,0.273,3.068
"dti_bin_Low (10-20), int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE",0.057,0.448,3.068
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), installment_bin_Low",0.089,0.302,3.066
grade_B,"dti_bin_Medium (20-30), int_rate_bin_Low (8-12%)",0.076,0.26,3.065
int_rate_bin_Low (8-12%),"grade_B, last_fico_range_low_bin_Medium",0.09,0.306,3.065
"dti_bin_Medium (20-30), int_rate_bin_Low (8-12%)",grade_B,0.076,0.9,3.065
"grade_B, last_fico_range_low_bin_Medium",int_rate_bin_Low (8-12%),0.09,0.901,3.065
int_rate_bin_Low (8-12%),"grade_B, dti_bin_Very Low (<10)",0.051,0.175,3.065
"grade_B, dti_bin_Very Low (<10)",int_rate_bin_Low (8-12%),0.051,0.901,3.065
"loan_status_Fully Paid, term_ 36 months, grade_C",int_rate_bin_Medium (12-16%),0.087,0.897,3.063
int_rate_bin_Medium (12-16%),"loan_status_Fully Paid, term_ 36 months, grade_C",0.087,0.297,3.063
grade_B,"loan_status_Current, int_rate_bin_Low (8-12%)",0.109,0.371,3.061
"loan_status_Current, int_rate_bin_Low (8-12%)",grade_B,0.109,0.898,3.061
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), last_fico_range_low_bin_Medium",0.075,0.256,3.06
int_rate_bin_Low (8-12%),"grade_B, home_ownership_MORTGAGE",0.131,0.447,3.06
"grade_B, home_ownership_MORTGAGE",int_rate_bin_Low (8-12%),0.131,0.9,3.06
grade_B,"home_ownership_RENT, int_rate_bin_Low (8-12%)",0.102,0.348,3.058
grade_B,"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%), loan_status_Current",0.054,0.185,3.058
"home_ownership_RENT, int_rate_bin_Low (8-12%)",grade_B,0.102,0.897,3.058
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, home_ownership_MORTGAGE",0.098,0.334,3.054
"dti_bin_Medium (20-30), int_rate_bin_Low (8-12%)","grade_B, term_ 36 months",0.061,0.722,3.053
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), fico_range_low_bin_Medium",0.067,0.228,3.051
grade_B,int_rate_bin_Low (8-12%),0.263,0.897,3.051
"grade_B, fico_range_low_bin_Medium","term_ 36 months, int_rate_bin_Low (8-12%)",0.067,0.728,3.051
"term_ 36 months, int_rate_bin_Low (8-12%)","grade_B, fico_range_low_bin_Medium",0.067,0.281,3.051
int_rate_bin_Low (8-12%),grade_B,0.263,0.896,3.051
int_rate_bin_Low (8-12%),"grade_B, dti_bin_Low (10-20), home_ownership_MORTGAGE",0.057,0.194,3.051
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, fico_range_low_bin_Low",0.086,0.292,3.05
int_rate_bin_Low (8-12%),"grade_B, fico_range_low_bin_Low",0.091,0.31,3.049
grade_B,"dti_bin_Low (10-20), int_rate_bin_Low (8-12%)",0.114,0.387,3.049
"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","grade_B, dti_bin_Low (10-20)",0.057,0.387,3.048
"grade_B, dti_bin_Low (10-20)","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.057,0.449,3.048
int_rate_bin_Low (8-12%),"grade_B, dti_bin_Low (10-20)",0.114,0.387,3.047
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months",0.212,0.721,3.047
"dti_bin_Low (10-20), int_rate_bin_Low (8-12%)","grade_B, loan_status_Fully Paid",0.058,0.458,3.046
int_rate_bin_Medium (12-16%),"loan_status_Fully Paid, grade_C",0.117,0.399,3.045
grade_B,"home_ownership_RENT, term_ 36 months, int_rate_bin_Low (8-12%)",0.089,0.305,3.045
"loan_status_Fully Paid, grade_C",int_rate_bin_Medium (12-16%),0.117,0.891,3.045
grade_B,"int_rate_bin_Low (8-12%), installment_bin_Medium",0.09,0.306,3.045
int_rate_bin_Low (8-12%),"grade_B, dti_bin_Medium (20-30)",0.076,0.26,3.043
int_rate_bin_Medium (12-16%),"loan_status_Fully Paid, fico_range_low_bin_Low, grade_C",0.058,0.199,3.043
grade_B,"term_ 36 months, dti_bin_Medium (20-30), int_rate_bin_Low (8-12%)",0.061,0.209,3.043
grade_B,"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.131,0.448,3.042
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, dti_bin_Low (10-20)",0.091,0.309,3.04
