antecedents,consequents,support,confidence,lift
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High, grade_A",0.081,0.481,5.435
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, grade_A",0.058,0.606,5.42
"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.051,0.916,5.42
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High",0.051,0.305,5.42
"grade_A, home_ownership_MORTGAGE","int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.051,0.471,5.419
"int_rate_bin_Very Low (<8%), loan_status_Fully Paid","grade_A, home_ownership_MORTGAGE",0.051,0.582,5.419
"grade_A, home_ownership_MORTGAGE","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.069,0.642,5.417
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","grade_A, home_ownership_MORTGAGE",0.069,0.582,5.417
int_rate_bin_Very Low (<8%),"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High, grade_A",0.064,0.378,5.417
"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High, grade_A",int_rate_bin_Very Low (<8%),0.064,0.916,5.417
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","grade_A, loan_status_Fully Paid",0.051,0.529,5.416
"grade_A, loan_status_Fully Paid","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.517,5.416
"grade_A, loan_status_Current","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.05,0.583,5.415
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","grade_A, loan_status_Current",0.05,0.468,5.415
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, grade_A",0.058,0.342,5.413
"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, grade_A",int_rate_bin_Very Low (<8%),0.058,0.915,5.413
"grade_A, loan_status_Fully Paid","term_ 36 months, int_rate_bin_Very Low (<8%)",0.085,0.868,5.406
"term_ 36 months, int_rate_bin_Very Low (<8%)","grade_A, loan_status_Fully Paid",0.085,0.528,5.406
