,antecedents,consequents,support,confidence,lift
281,"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Medium",grade_C,0.084,0.859,2.988
903,"fico_range_low_bin_Low, int_rate_bin_Medium (12-16%), dti_bin_Low (10-20)",grade_C,0.05,0.858,2.986
935,"fico_range_low_bin_Low, int_rate_bin_Medium (12-16%), home_ownership_RENT",grade_C,0.054,0.858,2.984
695,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Low (8-12%)",grade_B,0.071,0.858,2.922
248,"grade_C, term_ 60 months",int_rate_bin_Medium (12-16%),0.087,0.857,2.925
292,"grade_C, fico_range_low_bin_Medium",int_rate_bin_Medium (12-16%),0.078,0.856,2.924
257,"dti_bin_Medium (20-30), int_rate_bin_Medium (12-16%)",grade_C,0.08,0.855,2.974
1107,"last_fico_range_low_bin_High, fico_range_low_bin_High, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.081,0.853,5.312
301,"int_rate_bin_Medium (12-16%), installment_bin_Low",grade_C,0.088,0.853,2.966
309,"installment_bin_High, int_rate_bin_Medium (12-16%)",grade_C,0.078,0.852,2.965
870,"term_ 36 months, grade_C, last_fico_range_low_bin_Medium",int_rate_bin_Medium (12-16%),0.054,0.852,2.911
879,"term_ 36 months, fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)",grade_C,0.089,0.852,2.962
815,"last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Low (8-12%)",grade_B,0.052,0.851,2.901
440,"grade_A, installment_bin_Low","term_ 36 months, int_rate_bin_Very Low (<8%)",0.056,0.851,5.301
277,"last_fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)",grade_C,0.103,0.851,2.96
308,"installment_bin_High, grade_C",int_rate_bin_Medium (12-16%),0.078,0.851,2.906
280,"grade_C, last_fico_range_low_bin_Medium",int_rate_bin_Medium (12-16%),0.084,0.849,2.9
430,"fico_range_low_bin_High, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.111,0.849,5.285
