,antecedents,consequents,support,confidence,lift
435,int_rate_bin_Very Low (<8%),"term_ 36 months, fico_range_low_bin_High, grade_A",0.111,0.659,5.37
508,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",grade_A,0.089,0.658,3.434
988,"last_fico_range_low_bin_High, term_ 36 months, loan_status_Current",fico_range_low_bin_High,0.06,0.658,2.069
493,"loan_status_Fully Paid, grade_A","term_ 36 months, fico_range_low_bin_High",0.064,0.654,2.924
567,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.057,0.654,5.466
744,"installment_bin_High, grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.055,0.653,2.739
588,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.062,0.653,5.456
1018,"term_ 36 months, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.055,0.651,5.446
745,"installment_bin_High, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.055,0.651,2.752
505,"home_ownership_MORTGAGE, grade_A","term_ 36 months, fico_range_low_bin_High",0.07,0.65,2.906
696,"last_fico_range_low_bin_High, grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.071,0.65,2.723
1062,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.058,0.646,5.403
372,"last_fico_range_low_bin_High, loan_status_Current",fico_range_low_bin_High,0.092,0.644,2.026
882,"fico_range_low_bin_Low, grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.089,0.644,3.317
883,"fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)","term_ 36 months, grade_C",0.089,0.644,3.465
598,"home_ownership_MORTGAGE, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.069,0.642,5.417
59,grade_A,"term_ 36 months, fico_range_low_bin_High",0.123,0.641,2.865
44,int_rate_bin_Very High (>20%),term_ 60 months,0.05,0.64,2.224
1081,"term_ 36 months, home_ownership_MORTGAGE, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.064,0.64,5.401
1012,"loan_status_Fully Paid, grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.055,0.638,2.644
952,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.055,0.637,2.641
1025,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, grade_A",0.055,0.637,5.701
83,int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, grade_A",0.108,0.637,5.324
651,"loan_status_Current, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.077,0.635,2.683
481,"loan_status_Current, grade_A","term_ 36 months, fico_range_low_bin_High",0.055,0.634,2.832
858,"grade_C, home_ownership_RENT","term_ 36 months, int_rate_bin_Medium (12-16%)",0.076,0.633,3.265
548,"loan_status_Current, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.055,0.633,5.342
420,"term_ 36 months, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.101,0.631,5.278
697,"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.071,0.627,2.649
866,"last_fico_range_low_bin_Low, grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.074,0.625,3.22
467,"dti_bin_Low (10-20), grade_A","term_ 36 months, fico_range_low_bin_High",0.055,0.624,2.791
486,"loan_status_Fully Paid, grade_A","last_fico_range_low_bin_High, term_ 36 months",0.061,0.623,2.58
859,"int_rate_bin_Medium (12-16%), home_ownership_RENT","term_ 36 months, grade_C",0.076,0.622,3.347
1116,"fico_range_low_bin_High, grade_A","last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.081,0.62,6.111
88,grade_A,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.118,0.618,5.218
428,"term_ 36 months, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.111,0.616,5.198
576,"loan_status_Fully Paid, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.06,0.613,5.174
867,"last_fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)","term_ 36 months, grade_C",0.074,0.613,3.3
1037,"term_ 36 months, loan_status_Fully Paid, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.058,0.612,5.166
524,"dti_bin_Low (10-20), grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.053,0.608,5.133
1056,"home_ownership_MORTGAGE, grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.058,0.607,2.513
966,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.058,0.606,2.51
1069,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, grade_A",0.058,0.606,5.42
465,"term_ 36 months, fico_range_low_bin_High, dti_bin_Low (10-20)",grade_A,0.055,0.605,3.158
976,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.081,0.604,3.575
1113,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High","grade_A, int_rate_bin_Very Low (<8%)",0.081,0.604,3.581
500,"term_ 36 months, fico_range_low_bin_High, home_ownership_MORTGAGE",grade_A,0.07,0.602,3.145
421,"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.101,0.601,2.489
329,int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months",0.101,0.6,2.486
423,int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, grade_A",0.101,0.6,5.366
843,"loan_status_Fully Paid, int_rate_bin_Medium (12-16%)","term_ 36 months, grade_C",0.087,0.598,3.22
476,"term_ 36 months, fico_range_low_bin_High, loan_status_Current",grade_A,0.055,0.598,3.121
1044,"loan_status_Fully Paid, grade_A","term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.058,0.597,5.351
1088,"home_ownership_MORTGAGE, grade_A","term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.064,0.595,5.34
722,"fico_range_low_bin_High, grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.059,0.593,2.485
1165,"last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","home_ownership_MORTGAGE, grade_A",0.051,0.592,5.51
498,"home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, term_ 36 months",0.063,0.589,2.438
337,loan_status_Charged Off,"last_fico_range_low_bin_Low, term_ 36 months",0.069,0.585,2.375
55,grade_A,"last_fico_range_low_bin_High, term_ 36 months",0.112,0.583,2.417
474,"loan_status_Current, grade_A","last_fico_range_low_bin_High, term_ 36 months",0.05,0.583,2.417
537,"loan_status_Current, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.05,0.583,5.415
462,"dti_bin_Low (10-20), grade_A","last_fico_range_low_bin_High, term_ 36 months",0.051,0.583,2.413
557,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","home_ownership_MORTGAGE, grade_A",0.051,0.582,5.419
434,grade_A,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.111,0.582,5.22
597,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","home_ownership_MORTGAGE, grade_A",0.069,0.582,5.417
566,"loan_status_Fully Paid, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.057,0.581,5.393
1015,"term_ 36 months, loan_status_Fully Paid, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.055,0.581,5.393
587,"home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.062,0.58,5.387
1058,"term_ 36 months, home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.058,0.579,5.374
586,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","home_ownership_MORTGAGE, grade_A",0.062,0.579,5.387
1087,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","home_ownership_MORTGAGE, grade_A",0.064,0.574,5.34
1064,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)","home_ownership_MORTGAGE, grade_A",0.058,0.57,5.309
1022,"loan_status_Fully Paid, grade_A","last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.055,0.566,5.582
75,int_rate_bin_Very Low (<8%),"home_ownership_MORTGAGE, grade_A",0.095,0.564,5.251
82,grade_A,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.108,0.562,5.217
419,"term_ 36 months, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.101,0.56,5.201
246,grade_C,"term_ 36 months, int_rate_bin_Medium (12-16%)",0.161,0.559,2.884
401,"term_ 36 months, int_rate_bin_Very Low (<8%)","home_ownership_MORTGAGE, grade_A",0.089,0.557,5.185
723,"fico_range_low_bin_High, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.059,0.556,2.351
835,"dti_bin_Medium (20-30), grade_C","term_ 36 months, int_rate_bin_Medium (12-16%)",0.051,0.556,2.864
472,"last_fico_range_low_bin_High, term_ 36 months, loan_status_Current",grade_A,0.05,0.553,2.886
968,"term_ 36 months, fico_range_low_bin_High, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.064,0.552,3.263
1086,"term_ 36 months, fico_range_low_bin_High, home_ownership_MORTGAGE","grade_A, int_rate_bin_Very Low (<8%)",0.064,0.552,3.268
833,"dti_bin_Medium (20-30), int_rate_bin_Medium (12-16%)","term_ 36 months, grade_C",0.051,0.551,2.968
873,"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Medium","term_ 36 months, grade_C",0.054,0.55,2.964
247,int_rate_bin_Medium (12-16%),"term_ 36 months, grade_C",0.161,0.549,2.958
56,"term_ 36 months, fico_range_low_bin_High",grade_A,0.123,0.549,2.865
826,"grade_C, dti_bin_Low (10-20)","term_ 36 months, int_rate_bin_Medium (12-16%)",0.062,0.548,2.826
1017,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)","loan_status_Fully Paid, grade_A",0.055,0.545,5.582
488,"loan_status_Fully Paid, term_ 36 months, fico_range_low_bin_High",grade_A,0.064,0.545,2.844
872,"grade_C, last_fico_range_low_bin_Medium","term_ 36 months, int_rate_bin_Medium (12-16%)",0.054,0.544,2.804
1156,"home_ownership_MORTGAGE, grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High",0.051,0.54,2.897
1094,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, home_ownership_MORTGAGE, grade_A",0.064,0.54,5.401
1161,"last_fico_range_low_bin_High, fico_range_low_bin_High, grade_A","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.54,5.651
1000,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High",0.051,0.539,2.893
1170,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High, grade_A",0.051,0.539,5.651
1065,"home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.058,0.539,5.309
1071,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, home_ownership_MORTGAGE, grade_A",0.058,0.537,5.374
827,"int_rate_bin_Medium (12-16%), dti_bin_Low (10-20)","term_ 36 months, grade_C",0.062,0.531,2.858
422,grade_A,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.101,0.529,5.219
559,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","loan_status_Fully Paid, grade_A",0.051,0.529,5.416
405,int_rate_bin_Very Low (<8%),"term_ 36 months, home_ownership_MORTGAGE, grade_A",0.089,0.529,5.295
393,"term_ 36 months, int_rate_bin_Very Low (<8%)","loan_status_Fully Paid, grade_A",0.085,0.528,5.406
565,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","loan_status_Fully Paid, grade_A",0.057,0.527,5.393
618,"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE",grade_A,0.056,0.527,2.751
596,"fico_range_low_bin_High, grade_A","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.069,0.525,5.497
626,"home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, fico_range_low_bin_High",0.056,0.523,2.807
1039,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","loan_status_Fully Paid, grade_A",0.058,0.523,5.351
898,"term_ 60 months, int_rate_bin_Medium (12-16%)","grade_C, home_ownership_MORTGAGE",0.052,0.522,3.849
818,"fico_range_low_bin_High, grade_B","last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.052,0.522,4.636
585,"last_fico_range_low_bin_High, grade_A","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.062,0.521,5.456
1083,"term_ 36 months, fico_range_low_bin_High, grade_A","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.064,0.521,5.455
496,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE",grade_A,0.063,0.519,2.71
1060,"last_fico_range_low_bin_High, term_ 36 months, grade_A","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.058,0.518,5.42
556,"loan_status_Fully Paid, grade_A","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.517,5.416
1200,"term_ 36 months, grade_B, home_ownership_MORTGAGE","loan_status_Fully Paid, int_rate_bin_Low (8-12%)",0.056,0.516,3.522
613,"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High",0.087,0.515,2.765
363,int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, fico_range_low_bin_High",0.087,0.515,2.761
617,int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, fico_range_low_bin_High, grade_A",0.087,0.514,5.392
1024,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, loan_status_Fully Paid, grade_A",0.055,0.514,5.393
1133,"term_ 36 months, home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, fico_range_low_bin_High",0.051,0.513,2.751
71,int_rate_bin_Very Low (<8%),"loan_status_Fully Paid, grade_A",0.087,0.513,5.247
124,"last_fico_range_low_bin_High, fico_range_low_bin_High",grade_A,0.095,0.512,2.673
371,loan_status_Charged Off,"last_fico_range_low_bin_Low, fico_range_low_bin_Low",0.061,0.51,2.58
944,"last_fico_range_low_bin_Low, grade_C","fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)",0.061,0.51,3.697
1106,"term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High",0.081,0.507,2.722
1201,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","loan_status_Fully Paid, grade_B",0.056,0.507,3.371
983,"term_ 36 months, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High",0.081,0.507,2.72
1120,"term_ 36 months, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High, grade_A",0.081,0.507,5.312
896,"grade_C, term_ 60 months","home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)",0.052,0.506,3.655
785,"last_fico_range_low_bin_High, grade_B","loan_status_Fully Paid, int_rate_bin_Low (8-12%)",0.055,0.506,3.451
575,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","loan_status_Fully Paid, grade_A",0.06,0.506,5.174
397,int_rate_bin_Very Low (<8%),"term_ 36 months, loan_status_Fully Paid, grade_A",0.085,0.502,5.269
1186,"term_ 36 months, grade_B, dti_bin_Low (10-20)","loan_status_Fully Paid, int_rate_bin_Low (8-12%)",0.051,0.502,3.423
808,"fico_range_low_bin_High, grade_B","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.05,0.501,3.4
945,"last_fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)","fico_range_low_bin_Low, grade_C",0.061,0.5,3.627
1187,"term_ 36 months, dti_bin_Low (10-20), int_rate_bin_Low (8-12%)","loan_status_Fully Paid, grade_B",0.051,0.499,3.313
330,"term_ 36 months, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.111,0.498,2.947
427,"term_ 36 months, fico_range_low_bin_High","grade_A, int_rate_bin_Very Low (<8%)",0.111,0.498,2.952
129,grade_A,"last_fico_range_low_bin_High, fico_range_low_bin_High",0.095,0.498,2.673
74,grade_A,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.095,0.498,5.213
954,"loan_status_Fully Paid, term_ 36 months, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.058,0.497,2.939
1041,"term_ 36 months, fico_range_low_bin_High, loan_status_Fully Paid","grade_A, int_rate_bin_Very Low (<8%)",0.058,0.497,2.944
991,"fico_range_low_bin_High, loan_status_Fully Paid","last_fico_range_low_bin_High, term_ 36 months",0.074,0.496,2.053
1014,"last_fico_range_low_bin_High, term_ 36 months, grade_A","loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.055,0.495,5.701
400,"term_ 36 months, grade_A","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.089,0.494,5.176
460,"last_fico_range_low_bin_High, term_ 36 months, dti_bin_Low (10-20)",grade_A,0.051,0.493,2.575
1046,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, loan_status_Fully Paid, grade_A",0.058,0.492,5.166
819,"fico_range_low_bin_High, int_rate_bin_Low (8-12%)","last_fico_range_low_bin_High, grade_B",0.052,0.49,4.509
515,"term_ 36 months, grade_A","last_fico_range_low_bin_High, fico_range_low_bin_High",0.089,0.489,2.626
784,"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)","loan_status_Fully Paid, grade_B",0.055,0.488,3.244
658,"term_ 36 months, grade_B","loan_status_Fully Paid, int_rate_bin_Low (8-12%)",0.115,0.488,3.328
1090,"fico_range_low_bin_High, grade_A","term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.064,0.487,5.44
850,"grade_C, home_ownership_MORTGAGE","term_ 36 months, int_rate_bin_Medium (12-16%)",0.066,0.485,2.497
656,"term_ 36 months, int_rate_bin_Low (8-12%)","loan_status_Fully Paid, grade_B",0.115,0.484,3.215
1067,"last_fico_range_low_bin_High, grade_A","term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.058,0.484,5.403
992,"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.051,0.483,2.856
1164,"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE","grade_A, int_rate_bin_Very Low (<8%)",0.051,0.483,2.861
1114,"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",0.081,0.482,3.581
987,int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",0.081,0.482,3.575
1125,int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High, grade_A",0.081,0.481,5.435
1136,"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE","term_ 36 months, grade_A",0.051,0.481,2.655
816,"last_fico_range_low_bin_High, grade_B","fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.052,0.48,4.509
1166,"home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.479,5.51
800,"last_fico_range_low_bin_High, grade_B","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.052,0.478,3.249
1159,"last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.478,2.739
997,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.478,2.738
1173,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A",0.051,0.478,6.289
880,"term_ 36 months, grade_C","fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)",0.089,0.478,3.465
1140,"home_ownership_MORTGAGE, grade_A","last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",0.051,0.477,3.542
512,"last_fico_range_low_bin_High, fico_range_low_bin_High","term_ 36 months, grade_A",0.089,0.475,2.626
962,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.058,0.475,2.811
1063,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE","grade_A, int_rate_bin_Very Low (<8%)",0.058,0.475,2.815
1036,"term_ 36 months, fico_range_low_bin_High, grade_A","loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.058,0.475,5.468
564,"last_fico_range_low_bin_High, grade_A","loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.057,0.475,5.466
851,"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)","term_ 36 months, grade_C",0.066,0.474,2.554
795,"grade_B, installment_bin_Low","loan_status_Fully Paid, int_rate_bin_Low (8-12%)",0.051,0.472,3.217
558,"home_ownership_MORTGAGE, grade_A","loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.051,0.471,5.419
623,"last_fico_range_low_bin_High, grade_A","fico_range_low_bin_High, home_ownership_MORTGAGE",0.056,0.47,2.691
809,"fico_range_low_bin_High, int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE",0.05,0.47,3.214
840,"term_ 36 months, grade_C","loan_status_Fully Paid, int_rate_bin_Medium (12-16%)",0.087,0.469,3.22
392,"term_ 36 months, grade_A","loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.085,0.469,5.398
536,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","loan_status_Current, grade_A",0.05,0.468,5.415
794,"int_rate_bin_Low (8-12%), installment_bin_Low","loan_status_Fully Paid, grade_B",0.051,0.468,3.11
404,grade_A,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.089,0.467,5.217
358,"last_fico_range_low_bin_High, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.087,0.467,2.761
608,"last_fico_range_low_bin_High, fico_range_low_bin_High","grade_A, int_rate_bin_Very Low (<8%)",0.087,0.467,2.765
771,"grade_B, loan_status_Current","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.054,0.466,3.165
817,"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)","fico_range_low_bin_High, grade_B",0.052,0.463,4.636
54,"last_fico_range_low_bin_High, term_ 36 months",grade_A,0.112,0.463,2.417
105,"fico_range_low_bin_High, dti_bin_Low (10-20)",grade_A,0.059,0.463,2.415
1021,"last_fico_range_low_bin_High, grade_A","term_ 36 months, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.055,0.462,5.446
519,grade_A,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High",0.089,0.462,3.434
547,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","loan_status_Current, grade_A",0.055,0.462,5.342
801,"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE",0.052,0.462,3.159
755,"grade_B, dti_bin_Low (10-20)","loan_status_Fully Paid, int_rate_bin_Low (8-12%)",0.058,0.459,3.131
1134,"last_fico_range_low_bin_High, term_ 36 months, grade_A","fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.458,2.626
753,"dti_bin_Low (10-20), int_rate_bin_Low (8-12%)","loan_status_Fully Paid, grade_B",0.058,0.458,3.046
63,int_rate_bin_Very Low (<8%),"dti_bin_Low (10-20), grade_A",0.077,0.458,5.227
779,"grade_B, home_ownership_MORTGAGE","loan_status_Fully Paid, int_rate_bin_Low (8-12%)",0.067,0.457,3.121
881,"term_ 36 months, int_rate_bin_Medium (12-16%)","fico_range_low_bin_Low, grade_C",0.089,0.457,3.317
378,"term_ 36 months, int_rate_bin_Very Low (<8%)","dti_bin_Low (10-20), grade_A",0.073,0.457,5.212
574,"fico_range_low_bin_High, grade_A","loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.06,0.456,5.254
776,"loan_status_Fully Paid, int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE",0.067,0.456,3.121
315,grade_D,"term_ 36 months, int_rate_bin_High (16-20%)",0.065,0.455,5.024
777,"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","loan_status_Fully Paid, grade_B",0.067,0.454,3.017
616,grade_A,"last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.454,5.219
70,grade_A,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.087,0.452,5.212
1117,"term_ 36 months, grade_A","last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.45,5.17
527,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","dti_bin_Low (10-20), grade_A",0.053,0.45,5.133
367,loan_status_Charged Off,"last_fico_range_low_bin_Low, home_ownership_RENT",0.053,0.45,2.867
327,grade_D,"fico_range_low_bin_Low, int_rate_bin_High (16-20%)",0.064,0.449,4.889
842,"term_ 36 months, int_rate_bin_Medium (12-16%)","loan_status_Fully Paid, grade_C",0.087,0.449,3.428
761,"grade_B, dti_bin_Low (10-20)","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.057,0.449,3.048
67,int_rate_bin_Very Low (<8%),"loan_status_Current, grade_A",0.076,0.448,5.184
763,"dti_bin_Low (10-20), int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE",0.057,0.448,3.068
938,"grade_C, home_ownership_RENT","fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)",0.054,0.448,3.25
184,grade_B,"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.131,0.448,3.042
185,int_rate_bin_Low (8-12%),"grade_B, home_ownership_MORTGAGE",0.131,0.447,3.06
769,"loan_status_Current, int_rate_bin_Low (8-12%)","grade_B, home_ownership_MORTGAGE",0.054,0.447,3.057
181,grade_B,"loan_status_Fully Paid, int_rate_bin_Low (8-12%)",0.131,0.445,3.038
920,"grade_C, loan_status_Fully Paid","fico_range_low_bin_Low, int_rate_bin_Medium (12-16%)",0.058,0.445,3.224
180,int_rate_bin_Low (8-12%),"loan_status_Fully Paid, grade_B",0.131,0.444,2.954
778,"loan_status_Fully Paid, grade_B","home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.067,0.444,3.017
1043,"fico_range_low_bin_High, grade_A","term_ 36 months, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",0.058,0.444,5.226
114,"fico_range_low_bin_High, loan_status_Fully Paid",grade_A,0.066,0.444,2.317
